measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
5,Prevalence,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,3,Rate,1996,44962.3236797569,49309.33002856414,40798.374481421844
5,Prevalence,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,1,Number,1996,1691509.1873108582,1916143.493791997,1501364.2162430785
5,Prevalence,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,3,Rate,1996,4020.537115681961,4554.468928431209,3568.582778529557
5,Prevalence,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,1,Number,1998,19870409.48788241,21756845.595235653,18059018.0066597
5,Prevalence,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,3,Rate,1998,45329.025625994625,49632.42514597753,41196.820352564064
5,Prevalence,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,1,Number,1998,2744281.25563535,3034758.200146786,2485380.826667607
5,Prevalence,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,3,Rate,1998,6260.343826205081,6922.9892975804505,5669.731731048379
5,Prevalence,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,1,Number,1999,20323171.40143072,22245068.99767802,18500294.512587976
5,Prevalence,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,3,Rate,1999,45488.059114596785,49789.71999928255,41408.029967547736
5,Prevalence,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,1,Number,1999,3255752.317700189,3545774.36219988,2972035.294893664
5,Prevalence,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,3,Rate,1999,7287.142885563903,7936.280741273249,6652.117158017658
5,Prevalence,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,1,Number,2000,20730719.762875196,22684350.919401266,18905676.8594288
5,Prevalence,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,3,Rate,2000,45586.48639428262,49882.48678187699,41573.2493027306
5,Prevalence,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,1,Number,2000,3719415.111248396,4014904.907246381,3425358.4771281173
5,Prevalence,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,3,Rate,2000,8178.928098157752,8828.704937504852,7532.3027564521335
5,Prevalence,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,1,Number,2002,21393145.20221387,23398186.057180062,19500899.084619656
5,Prevalence,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,3,Rate,2002,45638.61294380221,49916.02435999934,41601.829790179814
5,Prevalence,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,1,Number,2002,4460393.502161268,4769156.125001873,4153996.2295510527
5,Prevalence,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,3,Rate,2002,9515.485951131792,10174.17814912974,8861.839822920256
5,Prevalence,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,1,Number,2001,21084704.64542336,23059468.943279475,19216921.384806417
5,Prevalence,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,3,Rate,2001,45626.66799313636,49899.99866094524,41584.8410788663
5,Prevalence,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,1,Number,2001,4122873.2479922385,4426174.297559763,3815224.528938862
5,Prevalence,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,3,Rate,2001,8921.773960194285,9578.108327846478,8256.03136627045
5,Prevalence,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,1,Number,2003,21659476.96145057,23690174.072304133,19732550.00767976
5,Prevalence,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,3,Rate,2003,45631.67494608733,49909.899699222035,41572.07071114579
5,Prevalence,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,1,Number,2003,4731659.773323595,5031280.018429461,4430400.339685824
5,Prevalence,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,3,Rate,2003,9968.549153613521,10599.782015619909,9333.862887889378
5,Prevalence,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,1,Number,2004,21893468.73466046,23935474.653389845,19928353.441473264
5,Prevalence,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,3,Rate,2004,45616.39534259054,49871.04089052062,41521.95616558235
5,Prevalence,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,1,Number,2004,4945662.846636125,5235167.644185353,4658564.546706469
5,Prevalence,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,3,Rate,2004,10304.594232075853,10907.795372042998,9706.407178644555
5,Prevalence,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,1,Number,2005,22107289.61201314,24140896.611608468,20143934.368676703
5,Prevalence,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,3,Rate,2005,45603.61831490904,49798.60734520961,41553.54683599577
